item_id,item_description,item_long_description,preferred_supplier_id,status_type_code_id,status_item_code_id,created_by,created_date,modified_by,modified_date
2000001,"#10 1/2X1-1/8"" SS BAND CLAMP",,1000002,,1002,,,101,12/28/04
2000002,"#101 6""RD SGL OUTLET NDS BASIN",,1000002,,1002,,,101,12/4/04
2000003,"#11 4"" ROUND NDS BLACK GRATE",,1000002,,1002,,,101,12/28/04
2000004,"#12 1/2X1-1/4"" SS BAND CLAMP",,1000002,,1002,,,101,4/17/05
2000005,"#13 4"" ROUND NDS GREEN GRATE",,1000002,,1002,,,101,12/28/04
2000006,"#14 3"" ROUND NDS BLACK GRATE",,1000002,,1002,,,101,4/17/05
2000007,"#20 3/4X1-3/4"" SS BAND CLAMP",,1000002,,1002,,,101,12/28/04
2000008,"#201 6""RD DBL OUTLET NDS BASIN",,1000002,,1002,,,101,4/17/05
2000009,#343 3X100' ADS DRAIN GUARD,,1000002,,1002,,,101,12/28/04
2000010,"#40 1-1/8X3"" SS BAND CLAMP",,1000002,,1002,,,101,12/17/04
2000011,"#40 6"" ROUND NDS BLACK GRATE",,1000002,,1002,,,101,1/3/05
2000012,#451 4X100' SOLID ADS PIPE,,1000002,,1002,,,101,1/3/05
2000013,#452 4X10' SOLID ADS PIPE,,1000002,,1002,,,101,1/3/05
2000014,"#50 6"" ROUND NDS GREEN GRATE",,1000002,,1002,,,101,12/17/04
2000015,#651 6X10' SOLID ADS PIPE,,1000002,,1002,,,101,1/3/05
2000016,02040 40W EMP UV STERILIZER,,1000002,,1002,,,101,12/17/04
2000017,"06000 6""X150'MULTI-FL DRN PIPE",,1000002,,1002,,,,
2000018,"06001 6"" MULTI-FLOW END CAP",,1000002,,1002,,,101,12/17/04
2000019,"06004 6"" MULTI-FLOW END OUTLET",,1000002,,1002,,,,
2000029,"1"" 200# BRASS GATE VALVE",,1000002,,1002,,,101,1/2/05
2000021,"1"" BRASS GARDEN VALVE",,1000002,,1002,,,101,1/2/05
2000022,"1"" BRS LA MAN ANG VAL",,1000002,,1002,,,101,12/17/04
2000033,"1"" BRS LA MAN STRAIGHT VAL",,1000002,,1002,,,101,1/2/05
2000025,"1"" CL 200 S/W PVC PIPE",,1000002,,1002,,,101,1/2/05
2000023,"1"" IXM POLY MALE ADPT",,1000002,,1002,,,101,1/2/05
2000035,"1"" MIPTXF S40 PVC 90 ST-ELL",,1000002,,1002,,,101,1/2/05
2000030,"1"" MXS S40 PVC MALE ADPT",,1000002,,1002,,,101,12/17/04
2000519,"1"" ROUND DRAIN ROCK ",,1000003,102,1002,101,11/13/05,101,11/13/05
2000026,"1"" SCH 40 S/W PVC PIPE",,1000002,,1002,,,101,12/17/04
2000036,"1"" SLIP FIX REPAIR COUPLING",,1000002,,1002,,,101,12/17/04
2000027,"1"" SLIP SCH 40 PVC CAP",,1000002,,1002,,,101,1/2/05
2000028,"1"" SXF S40 PVC FEM ADPT",,1000002,,1002,,,101,12/17/04
2000024,"1"" SXS S40 PVC 90-ELL",,1000002,,1002,,,101,12/17/04
2000032,"1"" SXS S80 PVC BALL VALVE",,1000002,,1002,,,101,12/17/04
2000037,"1"" SXS SCH 40 NESTED COUPLING",,1000002,,1002,,,101,1/3/05
2000031,"1"" SXS SCH 40 PVC 45-ELL",,1000002,,1002,,,101,1/2/05
2000034,"1"" SXS SCH 40 PVC COUPLING",,1000002,,1002,,,101,12/17/04
2000020,"1"" SXSXS S40 TEE",,1000002,,1002,,,101,12/17/04
2000038,"1""X25' TAPE MEASURE",,1000002,,1002,,,101,12/17/04
2000044,"1/2"" 200# BRASS GATE VALVE",,1000002,,1002,,,101,12/17/04
2000039,"1/2"" ALUM CONDUIT COVER",,1000002,,1002,,,101,1/3/05
